Unnamed: 0,consult,output
42,"
SELECT DISTINCT?uri WHERE {?x <http://dbpedia.org/ontology/related> <http://dbpedia.org/resource/Barq%27s_Beer>.?x <http://dbpedia.org/property/locationCity>?uri .?x <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Beverage>}
","{'head': {'link': [], 'vars': ['uri']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
43,"
SELECT DISTINCT?uri WHERE { <http://dbpedia.org/resource/Vostok_programmer> <http://dbpedia.org/ontology/associatedAstronaut>?uri.?uri <http://dbpedia.org/ontology/birthPlace>?uri2 }
","{'head': {'link': [], 'vars': ['uri']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
44,"
SELECT DISTINCT COUNT(?uri) WHERE {?x <http://dbpedia.org/ontology/campus> <http://dbpedia.org/resource/Suburb>.?uri <http://dbpedia.org/property/education>?x . }
","{'head': {'link': [], 'vars': ['callret-0']}, 'results': {'distinct': False, 'ordered': True, 'bindings': [{'callret-0': {'type': 'typed-literal', 'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'value': '1120'}}]}}"
45,"
SELECT DISTINCT?uri WHERE { <http://dbpedia.org/resource/Whitney_Wistert> <http://dbpedia.org/property/debut>?uri. }
","{'head': {'link': [], 'vars': ['uri']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
46,"
SELECT DISTINCT?uri WHERE {<http://dbpedia.org/resource/Dragimir_of_Travunia_and_Zachlumia> <http://dbpedia.org/property/majorShrine>?uri.?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Shrine>}
","{'head': {'link': [], 'vars': ['uri']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
47,"
SELECT (COUNT(?uri) AS?count) WHERE {?uri <http://dbpedia.org/ontology/channel> <http://dbpedia.org/resource/Fox_Broadcasting_Company>.?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/TelevisionShow>}
","{'head': {'link': [], 'vars': ['count']}, 'results': {'distinct': False, 'ordered': True, 'bindings': [{'count': {'type': 'typed-literal', 'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'value': '163'}}]}}"
48,"
SELECT DISTINCT?uri WHERE {?uri <http://dbpedia.org/property/mouthLocation> <http://dbpedia.org/resource/Arctic_Ocean>.?uri <http://dbpedia.org/property/mouthLocation> <http://dbpedia.org/resource/Laptev_Sea>.?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/River> }
","{'head': {'link': [], 'vars': ['uri']}, 'results': {'distinct': False, 'ordered': True, 'bindings': [{'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Lena_River'}}]}}"
49,"
SELECT DISTINCT?uri WHERE {?uri <http://dbpedia.org/ontology/president> <http://dbpedia.org/resource/Chung_Il_Kwon>.?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/War> }
","{'head': {'link': [], 'vars': ['uri']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
50,"
SELECT DISTINCT?uri WHERE {?uri <http://dbpedia.org/property/birthPlace> <http://dbpedia.org/resource/Bryn_Mawr_Hospital>.?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Person>}
","{'head': {'link': [], 'vars': ['uri']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
51,"
SELECT?faith?affiliation WHERE { 
  <http://dbpedia.org/resource/Ajith_Perera> <http://dbpedia.org/property/faith>?faith.
  <http://dbpedia.org/resource/Neungin_High_School> <http://dbpedia.org/property/religiousAffiliation>?affiliation.
}
","{'head': {'link': [], 'vars': ['faith', 'affiliation']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
52,"
SELECT DISTINCT?uri WHERE {?x <http://dbpedia.org/property/role> <http://dbpedia.org/resource/Air_interdiction>.?uri <http://dbpedia.org/ontology/militaryUnit>?x . }
","{'head': {'link': [], 'vars': ['uri']}, 'results': {'distinct': False, 'ordered': True, 'bindings': [{'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Jefferson_J._DeBlanc'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/James_N._Cupp'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Jerry_Coleman__Jerry_Coleman__1'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Joe_Foss'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/John_Glenn'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Lee_T._Lasseter'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Henry_T._Elrod'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/John_F._Bolt'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Kenneth_L._Reusser'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Christopher_Magee_(fighter_pilot)'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Robert_M._Hanson'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Donald_Conroy'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Siegfried_Betke'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Rolf_Thomsen'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Paul_Claas'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Viktor_von_Loßberg'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Rudolf_Schmidt_(Major)'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Scott_Speicher'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Kenneth_A._Walsh'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/James_E._Swett'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Manuel_Rivera,_Jr.'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Michael_J._Estocin'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Edward_Robert_Sellstrom'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Newton_Henry_Mason'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/William_Chesarek'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Matt_Santos____1'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Paul_G._Baker'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Harold_John_Ellison'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/William_W._Creamer'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/William_C._Lawe'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/George_H._Gay,_Jr.'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Henry_R._Kenyon,_Jr.'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/George_M._Campbell'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Oswald_J._Gaynier'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/John_P._Gray'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Jack_W._Wilke'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Oliver_Mitchell'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Dilbagh_Singh'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Art_Nalls'}}]}}"
53,"
SELECT DISTINCT?uri WHERE {?uri <http://dbpedia.org/property/currentMembers> <http://dbpedia.org/resource/Insects_vs_Robots> } 
","{'head': {'link': [], 'vars': ['uri']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
54,"
ASK WHERE { <http://dbpedia.org/resource/Ombla> <http://dbpedia.org/property/country>  <http://dbpedia.org/resource/Croatia> }
","{'head': {'link': []}, 'boolean': False}"
55,"
SELECT DISTINCT?uri WHERE {?x <http://dbpedia.org/property/homeTown> <http://dbpedia.org/resource/Greater_Napanee>.?x <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Person>}
","{'head': {'link': [], 'vars': ['uri']}, 'results': {'distinct': False, 'ordered': True, 'bindings': [{}]}}"
56,"
SELECT DISTINCT?uri WHERE {?x <http://dbpedia.org/property/child> <http://dbpedia.org/resource/William_A_Purtell>.?x <http://dbpedia.org/property/deathPlace>?uri .?x <http://www.w3.org/1999/02-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Person>}
","{'head': {'link': [], 'vars': ['uri']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
57,"
SELECT DISTINCT?uri WHERE { <http://dbpedia.org/resource/Trn_Vit_Hng> <http://dbpedia.org/property/nationalTeam>?uri }
","{'head': {'link': [], 'vars': ['uri']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
58,"
SELECT DISTINCT?uri WHERE {?x <http://dbpedia.org/property/designer>?uri.?x <http://dbpedia.org/property/owner> <http://dbpedia.org/resource/Renaissance_Center> }
","{'head': {'link': [], 'vars': ['uri']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
59,"
 SELECT DISTINCT?uri WHERE { <http://dbpedia.org/resource/Joshua_A._Siegel> <http://dbpedia.org/property/almaMater>?uri } 
","{'head': {'link': [], 'vars': ['uri']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
60,"
SELECT DISTINCT COUNT(?uri) WHERE {?uri <http://dbpedia.org/ontology/author> <http://dbpedia.org/resource/Novelas_Ejemplares> .?uri <http://www.w3.org/1999/02#type> <http://dbpedia.org/ontology/Book>}
","{'head': {'link': [], 'vars': ['callret-0']}, 'results': {'distinct': False, 'ordered': True, 'bindings': [{'callret-0': {'type': 'typed-literal', 'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'value': '0'}}]}}"
61,"
SELECT DISTINCT?uri WHERE {?uri <http://dbpedia.org/ontology/sourcePlace> <http://dbpedia.org/resource/Essex>.?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/River>}
","{'head': {'link': [], 'vars': ['uri']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
62,"
SELECT DISTINCT?uri WHERE {?uri <http://dbpedia.org/ontology/foundationPlace> <http://dbpedia.org/resource/Taiwan>.?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Company>}
","{'head': {'link': [], 'vars': ['uri']}, 'results': {'distinct': False, 'ordered': True, 'bindings': [{'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Runewaker_Entertainment'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Silicon_Power'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Gold_Apollo_Co.,_Ltd.'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Microlife_Corporation'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Taiwan_Financial_Holdings_Group'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/MIPRO'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Ting_Hsin_International_Group'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Global_Unichip_Corporation'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Giant_Bicycles'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Mapex_Drums'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Farmers_Bank_of_China'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Infortrend'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Ever_Glory_Publishing'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Sharp_Point_Press'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/TSMC'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Bank_of_China'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Compal_Electronics'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Chatime'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/KMC_Chain_Industrial'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Phonic_Corporation'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Johnson_Health_Tech'}}]}}"
63,"
ASK WHERE { <http://dbpedia.org/resource/Sunrise_(HIMYM)> <http://dbpedia.org/ontology/guestStar>  <http://dbpedia.org/resource/Timm_Gunn> }
","{'head': {'link': []}, 'boolean': False}"
64,"
SELECT DISTINCT?uri WHERE {?x <http://dbpedia.org/property/name> ""Stanford Cardinal"".?x <http://dbpedia.org/property/university>?uri. }
UNION
SELECT DISTINCT?uri WHERE {?x <http://dbpedia.org/property/name> ""Gerald Reaven"".?x <http://dbpedia.org/property/university>?uri. }
","['output error: QueryBadFormed: A bad request has been sent to the endpoint: probably the SPARQL query is badly formed. \n\nResponse:\nb\'Virtuoso 37000 Error SP030: SPARQL compiler, line 5: syntax error at \\\'UNION\\\' before \\\'SELECT\\\'\\n\\nSPARQL query:\\ndefine sql:big-data-const 0\\n#output-format:application/sparql-results+json\\n\\nSELECT DISTINCT?uri WHERE {?x <http://dbpedia.org/property/name> ""Stanford Cardinal"".?x <http://dbpedia.org/property/university>?uri. }\\nUNION\\nSELECT DISTINCT?uri WHERE {?x <http://dbpedia.org/property/name> ""Gerald Reaven"".?x <http://dbpedia.org/property/university>?uri. }\\n\'']"
65,"
 SELECT DISTINCT?uri WHERE { <http://dbpedia.org/resource/David_W._Brown_House> <http://dbpedia.org/property/nearestCity>?uri } 
","{'head': {'link': [], 'vars': ['uri']}, 'results': {'distinct': False, 'ordered': True, 'bindings': [{'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Colorado'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Arapahoe_County,_Colorado'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Englewood,_Colorado'}}]}}"
66,"
 SELECT DISTINCT?uri WHERE { <http://dbpedia.org/resource/Deion_Sanders> <http://dbpedia.org/property/debut>?uri } 
","{'head': {'link': [], 'vars': ['uri']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
67,"
SELECT DISTINCT?uri WHERE {?x <http://dbpedia.org/ontology/nearestCity> <http://dbpedia.org/resource/Fountain_Lake_Farm>.?x <http://www.w3.org/1999/02-rdf-syntax-ns#type> <http://dbpedia.org/ontology/City>}
","{'head': {'link': [], 'vars': ['uri']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
68,"
SELECT DISTINCT?uri WHERE {?uri <http://dbpedia.org/property/characters> <http://dbpedia.org/resource/Batman>. }
","{'head': {'link': [], 'vars': ['uri']}, 'results': {'distinct': False, 'ordered': True, 'bindings': [{'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Batman_Live'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/List_of_DC_Comics_characters_named_Batman'}}]}}"
69,"
SELECT DISTINCT?uri WHERE {?uri <http://dbpedia.org/property/training> <http://dbpedia.org/resource/San_Francisco_Art_Institute>.?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Artist>}
","{'head': {'link': [], 'vars': ['uri']}, 'results': {'distinct': False, 'ordered': True, 'bindings': [{'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Peter_Forakis'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Carlos_Vierra'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Robert_Graham_(sculptor)'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Thom_Merrick'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/William_T._Wiley'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Jim_Franklin_(artist)'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Helen_Hyde'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Reminisce_(artist)'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/James_Zar'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Robert_H._Hudson'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Ernest_Peixotto'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Ralph_Stackpole'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Tullio_DeSantis'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Ray_Strong'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Lin_Evola'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Michael_Heizer'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/T._C._Cannon'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Ronnie_Landfield'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Jason_Rhoades'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Paul_McCarthy'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Gregory_Gillespie'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Karl_Kasten'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Annie_Leibovitz'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Gladys_Rockmore_Davis'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Joan_Brown'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Peter_Kovál'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Manuel_Neri'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Peter_Reginato'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Ronald_Davis'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Sarah_Cain'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Daniela_Franco'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Emily_Carr'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Jess_Collins'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Victor_Moscoso'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Arthur_Frank_Mathews'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Deborah_Remington'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Neil_Williams_(artist)'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Lynn_Marie_Kirby'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Carlos_Villa'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Edith_Heath'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Adelaide_Hanscom_Leeson'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Vena_Kava'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Doris_Lee'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Walter_Kuhlman'}}]}}"
70,"
 SELECT DISTINCT?uri WHERE { <http://dbpedia.org/resource/Ford_Kansas_City_Assembly_Plant> <http://dbpedia.org/ontology/owningOrganisation>?uri. <http://dbpedia.org/resource/Ford_Y-block_engine> <http://dbpedia.org/ontology/builder>?uri} 
","{'head': {'link': [], 'vars': ['uri']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
71,"
SELECT DISTINCT?uri WHERE {?uri <http://dbpedia.org/ontology/currency> <http://dbpedia.org/resource/Aureus> .?uri <http://www.w3.org/1999ntax-ns#type> <http://dbpedia.org/ontology/Country>}
","{'head': {'link': [], 'vars': ['uri']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
72,"
SELECT DISTINCT?uri WHERE {?uri <http://dbpedia.org/property/awards> <http://dbpedia.org/resource/A._Peter_Dewey>. }
","{'head': {'link': [], 'vars': ['uri']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
73,"
SELECT DISTINCT COUNT(?uri) WHERE {?x <http://dbpedia.org/property/sisterNames> <http://dbpedia.org/resource/Cartoonite>.?uri <http://dbpedia.org/property/network>?x .?uri <http://www.w3.org/1999/02/22-rdbpedia.org/ontology/type> <http://dbpedia.org/ontology/TelevisionShow>}
","{'head': {'link': [], 'vars': ['callret-0']}, 'results': {'distinct': False, 'ordered': True, 'bindings': [{'callret-0': {'type': 'typed-literal', 'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'value': '0'}}]}}"
74,"
SELECT DISTINCT?uri WHERE {?uri <http://dbpedia.org/property/developer> <http://dbpedia.org/resource/John_Fanning_(businessman)> .?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>?type. FILTER (strstarts(str(?type), ""http://dbpedia.org/ontology/""))}
","{'head': {'link': [], 'vars': ['uri']}, 'results': {'distinct': False, 'ordered': True, 'bindings': [{'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Napster'}}]}}"
75,"
SELECT (COUNT(?uri) AS?count) WHERE { <http://dbpedia.org/resource/Muhammad_Yunus> <http://dbpedia.org/ontology/award>?uri } 
","{'head': {'link': [], 'vars': ['count']}, 'results': {'distinct': False, 'ordered': True, 'bindings': [{'count': {'type': 'typed-literal', 'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'value': '9'}}]}}"
76,"
SELECT DISTINCT?uri WHERE {?uri <http://dbpedia.org/property/label> <http://dbpedia.org/resource/Motown>.?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Band>}
","{'head': {'link': [], 'vars': ['uri']}, 'results': {'distinct': False, 'ordered': True, 'bindings': [{'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Mazarati'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/The_Originals_(band)'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/The_Monitors_(American_band)'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Apollo_(quintet)'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Shades_(band)'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/The_Elgins'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/The_Boys_(American_band)'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/The_Good_Girls'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/The_Fantastic_Four_(band)'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/The_Underdogs_(American_band)'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Commodores'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/The_5th_Dimension'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/The_Andantes'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Profyle'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Zhané'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Boogie_On_Reggae_Woman'}}, {'uri': {'type': 'uri', 'value': ""http://dbpedia.org/resource/You_Haven't_Done_Nothin'""}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Stoney_&_Meatloaf_(band)'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Switch_(band)'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Bloodstone_(band)'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Four_Tops'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Martha_and_the_Vandellas'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/The_Four_Seasons_(band)'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/The_Isley_Brothers'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/The_Supremes'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Wilson_Pickett'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/By_All_Means'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Gary_Byrd_and_the_GB_Experience'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Warp_9'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Wreckx-n-Effect'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/702_(group)'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/The_Marvelettes'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/James_Davis_(musical_group)'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Edwin_Starr'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/98_Degrees'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Scissor_Sisters'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Rare_Earth_(band)'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Ashford_&_Simpson'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Mary_Jane_Girls'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/The_Contours'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/The_Emotions'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/The_Velvelettes'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/B5_(group)'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/General_Caine'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Ozone_(American_band)'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Dazz_Band'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/The_Pretty_Things'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/The_Miracles'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/The_Funk_Brothers'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/The_Pointer_Sisters'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Today_(group)'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/San_Remo_Golden_Strings'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Rottin_Razkals'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/The_Mynah_Birds'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Bless_You_(Martha_and_the_Vandellas_song)'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/High_Inergy'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/DeBarge_family'}}]}}"
