Unnamed: 0,consult,output
38,"
SELECT DISTINCT?uri WHERE {?x <http://dbpedia.org/property/headquarters>?hq.?hq <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/United_Kingdom>.?x <http://dbpedia.org/property/destinations>?uri .?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Place>}
","{'head': {'link': [], 'vars': ['uri']}, 'results': {'distinct': False, 'ordered': True, 'bindings': [{'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Crookes'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Manchester'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Sheffield'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Peterborough'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Ipswich'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Europe'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Hong_Kong'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/London'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Los_Angeles'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Paris'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Shanghai'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Sydney'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/North_America'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Oxford'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Northampton'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Cranfield'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Wootton,_Bedfordshire'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Guildford'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Brighton_and_Hove'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Lewes'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Preston,_Lancashire'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Woodhouse,_South_Yorkshire'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Heathrow_Airport'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Kingston_upon_Thames'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Bradford'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Warrington'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Liverpool'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/British_Isles'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Portsmouth'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Stretford'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Morden'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Wythenshawe'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Hadleigh,_Suffolk'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Bluewater_(shopping_centre)'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Dartford'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Chesterfield'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Cambridge'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/St_Ives,_Cambridgeshire'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/St_Neots'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Debenham'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/New_York'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Abu_Dhabi'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Budapest'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Las_Vegas'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Miami'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Muscat,_Oman'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Philadelphia'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/San_Francisco'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Vienna'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Abingdon-on-Thames'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Luton'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Milton_Keynes'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Shoreham-by-Sea'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Wigan'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Dore_and_Totley'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/United_Kingdom'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Staines-upon-Thames'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Leeds'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/York'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Dewsbury'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Darlington'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Widnes'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Reading,_Berkshire'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Stalybridge'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Dorking'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Kirkbymoorside'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Rotherham'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Framlingham'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Stowmarket'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Bury_St_Edmunds'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Washington,_D.C.'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Dubai'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Banbury'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Flitwick'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Hitchin'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Northallerton'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Thirsk'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Richmond,_North_Yorkshire'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/St_Helens,_Merseyside'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Runcorn'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Southampton'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Weymouth,_Dorset'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Fareham'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Wallingford,_Oxfordshire'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Buxton'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Baslow'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Hyde,_Greater_Manchester'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Middleton,_Greater_Manchester'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Oldham'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Altrincham'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Ashton-under-Lyne'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/New_Ferry'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Seacombe'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Cobham,_Surrey'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Epsom'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Colchester'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Gravesend'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Glossop'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Norwich'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Scarborough,_North_Yorkshire'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Derby'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Huntingdon'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Istanbul'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Didcot'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Wantage'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Bicester'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Witney'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Biggleswade'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Rushden'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Sandy,_Bedfordshire'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Steyning'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Eastbourne'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Royal_Tunbridge_Wells'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Southport'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Blackpool'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Yorkshire_Dales'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Gosport'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Bakewell'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Matlock,_Derbyshire'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Stockport'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Rochdale'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/New_Brighton,_Merseyside'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Birkenhead'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Sutton,_London'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Bolton'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Capel_St._Mary'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Holbrook,_Suffolk'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Ebbsfleet_International_railway_station'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Manchester_Airport'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Macclesfield'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Ashbourne,_Derbyshire'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Long_Stratton'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Middlesbrough'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Stockton-on-Tees'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Diss'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Kidlington'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Carterton,_Oxfordshire'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Chipping_Norton'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Woking'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/East_Bergholt'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Pickering,_North_Yorkshire'}}]}}"
39,"
SELECT DISTINCT?uri WHERE {?uri <http://dbpedia.org/ontology/founder> <http://dbpedia.org/resource/Ralph_J._Gleason> .?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Magazine>}
","{'head': {'link': [], 'vars': ['uri']}, 'results': {'distinct': False, 'ordered': True, 'bindings': [{'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Rolling_Stone'}}]}}"
40,"
ASK WHERE { <http://dbpedia.org/resource/USS_Marmora_(IX-189)> <http://dbpedia.org/property/shipBuilder> <http://dbpedia.org/resource/Seattle> }
","{'head': {'link': []}, 'boolean': True}"
41,"
ASK WHERE { <http://dbpedia.org/resource/Albania> <http://dbpedia.org/ontology/largestCity> <http://dbpedia.org/resource/Tirana> }
","{'head': {'link': []}, 'boolean': True}"
42,"
SELECT DISTINCT?uri WHERE {?x <http://dbpedia.org/ontology/related> <http://dbpedia.org/resource/Barq%27s_Beer>.?x <http://dbpedia.org/property/locationCity>?uri .?x <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Beverage>}
","{'head': {'link': [], 'vars': ['uri']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
43,"
SELECT DISTINCT?uri WHERE { <http://dbpedia.org/resource/Vostok_programmer> <http://dbpedia.org/ontology/associatedAstronaut>?x.?x <http://dbpedia.org/ontology/birthPlace>?uri. }
","{'head': {'link': [], 'vars': ['uri']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
44,"
SELECT DISTINCT COUNT(?uri) WHERE {?uri <http://dbpedia.org/property/education>?x.?x <http://dbpedia.org/ontology/campus> <http://dbpedia.org/resource/Suburb>. }
","{'head': {'link': [], 'vars': ['callret-0']}, 'results': {'distinct': False, 'ordered': True, 'bindings': [{'callret-0': {'type': 'typed-literal', 'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'value': '1120'}}]}}"
45,"
SELECT DISTINCT?uri WHERE { <http://dbpedia.org/resource/Whitney_Wistert> <http://dbpedia.org/property/debut>?uri. }
","{'head': {'link': [], 'vars': ['uri']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
46,"
SELECT DISTINCT?uri WHERE {?uri <http://dbpedia.org/property/successor> <http://dbpedia.org/resource/Dragimir_of_Travunia_and_Zachlumia>.?uri <http://dbpedia.org/property/majorShrine>?majorShrine}
","{'head': {'link': [], 'vars': ['uri']}, 'results': {'distinct': False, 'ordered': True, 'bindings': [{'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Jovan_Vladimir'}}]}}"
47,"
SELECT (COUNT(?show) AS?count) WHERE {
 ?show <http://dbpedia.org/ontology/channel> <http://dbpedia.org/resource/Fox_Broadcasting_Company>.
}
","{'head': {'link': [], 'vars': ['count']}, 'results': {'distinct': False, 'ordered': True, 'bindings': [{'count': {'type': 'typed-literal', 'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'value': '163'}}]}}"
48,"
SELECT DISTINCT?uri WHERE {?uri <http://dbpedia.org/property/mouthLocation> <http://dbpedia.org/resource/Arctic_Ocean>.?uri <http://dbpedia.org/property/mouthLocation> <http://dbpedia.org/resource/Laptev_Sea>.?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/River> }
","{'head': {'link': [], 'vars': ['uri']}, 'results': {'distinct': False, 'ordered': True, 'bindings': [{'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Lena_River'}}]}}"
49,"
SELECT DISTINCT?uri WHERE {?uri <http://dbpedia.org/ontology/president> <http://dbpedia.org/resource/Chung_Il_Kwon>.?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/War>. }
","{'head': {'link': [], 'vars': ['uri']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
50,"
SELECT DISTINCT?uri WHERE {?uri <http://dbpedia.org/property/birthPlace>?birthPlace.?uri <http://dbpedia.org/property/deathPlace> <http://dbpedia.org/resource/Bryn_Mawr_Hospital>.?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Person>}
","{'head': {'link': [], 'vars': ['uri']}, 'results': {'distinct': False, 'ordered': True, 'bindings': [{'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Ralph_Cooper_Hutchison'}}]}}"
51,"
SELECT?faith?affiliation WHERE {
  <http://dbpedia.org/resource/Ajith_Perera> <http://dbpedia.org/property/faith>?faith.
  <http://dbpedia.org/resource/Neungin_High_School> <http://dbpedia.org/property/religiousAffiliation>?affiliation.
}
","{'head': {'link': [], 'vars': ['faith', 'affiliation']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
52,"
SELECT DISTINCT?uri WHERE {?x <http://dbpedia.org/property/role> <http://dbpedia.org/resource/Air_interdiction>.?uri <http://dbpedia.org/ontology/militaryUnit>?x . }
","{'head': {'link': [], 'vars': ['uri']}, 'results': {'distinct': False, 'ordered': True, 'bindings': [{'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Jefferson_J._DeBlanc'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/James_N._Cupp'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Jerry_Coleman__Jerry_Coleman__1'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Joe_Foss'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/John_Glenn'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Lee_T._Lasseter'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Henry_T._Elrod'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/John_F._Bolt'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Kenneth_L._Reusser'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Christopher_Magee_(fighter_pilot)'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Robert_M._Hanson'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Donald_Conroy'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Siegfried_Betke'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Rolf_Thomsen'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Paul_Claas'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Viktor_von_Loßberg'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Rudolf_Schmidt_(Major)'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Scott_Speicher'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Kenneth_A._Walsh'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/James_E._Swett'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Manuel_Rivera,_Jr.'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Michael_J._Estocin'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Edward_Robert_Sellstrom'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Newton_Henry_Mason'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/William_Chesarek'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Matt_Santos____1'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Paul_G._Baker'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Harold_John_Ellison'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/William_W._Creamer'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/William_C._Lawe'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/George_H._Gay,_Jr.'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Henry_R._Kenyon,_Jr.'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/George_M._Campbell'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Oswald_J._Gaynier'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/John_P._Gray'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Jack_W._Wilke'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Oliver_Mitchell'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Dilbagh_Singh'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Art_Nalls'}}]}}"
53,"
SELECT DISTINCT?member WHERE { <http://dbpedia.org/resource/Insects_vs_Robots> <http://dbpedia.org/property/currentMembers>?member } 
","{'head': {'link': [], 'vars': ['member']}, 'results': {'distinct': False, 'ordered': True, 'bindings': [{'member': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Willie_Nelson'}}, {'member': {'type': 'literal', 'xml:lang': 'en', 'value': 'Jeff Smith'}}, {'member': {'type': 'literal', 'xml:lang': 'en', 'value': 'Tony Peluso'}}, {'member': {'type': 'literal', 'xml:lang': 'en', 'value': 'Milo Gonzalez'}}, {'member': {'type': 'literal', 'xml:lang': 'en', 'value': 'Nikita Sorokin'}}]}}"
54,"
ASK WHERE { <http://dbpedia.org/resource/Ombla> <http://dbpedia.org/property/country>  <http://dbpedia.org/resource/Croatia> }
","{'head': {'link': []}, 'boolean': False}"
55,"
SELECT DISTINCT?person WHERE {
 ?person <http://dbpedia.org/property/homeTown> <http://dbpedia.org/resource/Greater_Napanee>.
 ?person <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Person>.
}
","{'head': {'link': [], 'vars': ['person']}, 'results': {'distinct': False, 'ordered': True, 'bindings': [{'person': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Deryck_Whibley'}}]}}"
56,"
SELECT DISTINCT?uri WHERE {?x <http://dbpedia.org/property/child> <http://dbpedia.org/resource/William_A_Purtell>.?x <http://dbpedia.org/property/deathPlace>?uri. }
","{'head': {'link': [], 'vars': ['uri']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
57,"
SELECT DISTINCT?uri WHERE { <http://dbpedia.org/resource/Trn_Vit_Hng> <http://dbpedia.org/property/nationalteam>?uri }
","{'head': {'link': [], 'vars': ['uri']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
58,"
SELECT DISTINCT?uri WHERE {?x <http://dbpedia.org/ontology/owner> <http://dbpedia.org/resource/Renaissance_Center>.?x <http://dbpedia.org/property/designer>?uri. }
","{'head': {'link': [], 'vars': ['uri']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
59,"
 SELECT DISTINCT?uri WHERE { <http://dbpedia.org/resource/Joshua_A._Siegel> <http://dbpedia.org/property/almaMater>?uri } 
","{'head': {'link': [], 'vars': ['uri']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
60,"
SELECT DISTINCT COUNT(?uri) WHERE {?uri <http://dbpedia.org/ontology/author> <http://dbpedia.org/resource/Novelas_ejemplares>.?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Book>}
","{'head': {'link': [], 'vars': ['callret-0']}, 'results': {'distinct': False, 'ordered': True, 'bindings': [{'callret-0': {'type': 'typed-literal', 'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'value': '0'}}]}}"
61,"
SELECT DISTINCT?uri WHERE {?uri <http://dbpedia.org/ontology/sourcePlace> <http://dbpedia.org/resource/Essex>.?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/River>}
","{'head': {'link': [], 'vars': ['uri']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
62,"
SELECT DISTINCT?division 
WHERE { 
   ?uri <http://dbpedia.org/property/locationCity> <http://dbpedia.org/resource/Taiwan>. 
   ?uri <http://dbpedia.org/property/industry> <http://dbpedia.org/resource/Business>. 
   ?uri <http://dbpedia.org/property/foundingDate>?date. 
   ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Company>. 
   ?uri <http://dbpedia.org/property/division>?division. 
}
","{'head': {'link': [], 'vars': ['division']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
63,"
ASK WHERE { <http://dbpedia.org/resource/Sunrise_(HIMYM)> <http://dbpedia.org/property/guestStars> <http://dbpedia.org/resource/Tim_Gunn> }
","{'head': {'link': []}, 'boolean': False}"
64,"
SELECT DISTINCT?university
WHERE {
 ?stanford <http://dbpedia.org/property/university>?university.
 ?gerald <http://dbpedia.org/property/university>?university.
 ?stanford <http://dbpedia.org/property/coach>?coach.
 ?gerald <http://dbpedia.org/property/coach>?coach.
 ?coach <http://dbpedia.org/property/name> ""Gerald Reaven"".
 ?coach <http://dbpedia.org/property/name> ""Stanford Cardinal"".
}
","{'head': {'link': [], 'vars': ['university']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
65,"
SELECT DISTINCT?uri WHERE { <http://dbpedia.org/resource/David_W._Brown_House> <http://dbpedia.org/property/nearestCity>?uri } 
","{'head': {'link': [], 'vars': ['uri']}, 'results': {'distinct': False, 'ordered': True, 'bindings': [{'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Colorado'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Arapahoe_County,_Colorado'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Englewood,_Colorado'}}]}}"
66,"
 SELECT DISTINCT?uri WHERE { <http://dbpedia.org/resource/Deion_Sanders> <http://dbpedia.org/property/debut>?uri } 
","{'head': {'link': [], 'vars': ['uri']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
67,"
SELECT DISTINCT?uri WHERE {?x <http://dbpedia.org/ontology/nearestCity> <http://dbpedia.org/resource/Fountain_Lake_Farm>.?x <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/City>}
","{'head': {'link': [], 'vars': ['uri']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
